YEAR	ACTIVOS CORRIENTES	CAJA-BANCOS	CUENTAS Y DOC X COBRAR CLIENTES	INVENTARIOS	OTROS ACTIVOS CORRIENTES	ACTIVOS NO CORRIENTES	PPE	DEPRECIACIÓN PPE	INVERSIONES LP	OTROS ACTIVOS NO CORRIENTES	TOTAL DE ACTIVOS	PASIVOS CORRIENTES	CUENTAS X PAGAR PROVEEDORES	CUENTAS X PAGAR A INSTITUCIONES FINANCIERAS	OTROS PASIVOS CORRIENTES	PASIVOS NO CORRIENTES	CUENTAS Y DOC POR PAGAR LP 	OTROS PASIVOS NO CORRIENTES	TOTAL PASIVOS	CAPITAL	RESERVA	RESULTADOS ACUMULADOS	OTRAS PATRIMONIO	TOTAL PATRIMONIO	PASIVO Y PATRIMONIO	INGRESO VENTAS	OTROS INGRESOS	TOTAL DE INGRESOS	COSTO DE VENTA	Utilidad Operativa	SUELDOS	GASTO DE VENTA	GASTOS FINANCIEROS	Otros gastos	TOTAL DE COSTOS Y GASTOS	GROSS PROFIT	REPARTICION UTILIDAD	EDBITA	CORPORATE TAX	NET PROFIT	ROE	ROIC	ROA	AF	RP	Cto de financiamiento	Cto de Financiamiento Corriente	PPC	PPP	PCI	CCE
2006	1489101507	114129569.2	539139135.5	544625438.6	291207363.9	980628723.3	1338971849	-649515175.5	124226033.3	166946016.5	2469730231	1104482639	501586097.1	334508364.9	268388177.3	464912304.8	260225401.2	204686903.6	1569394944	477909990.3	22558795	238541519.8	161324981.2	900335286.3	2469730231	"$3,620,323,897.16"	"$115,798,662.16"	"$3,736,122,559.32"	"$2,169,168,386.03"	"$1,566,954,173.29"	"$366,871,795.43"	"$65,718,460.80"	"$56,132,673.64"	"$840,374,372.22"	"$3,498,265,688.12"	"$256,519,203.06"	"-$87,861,430.82"	"$149,995,440.38"	"$31,504,433.76"	"$118,491,006.62"	0.131607645	0.247935823	0.047977307	0.635451972	0.364548028	0.068120451	0.033468906	53.61124979	83.244342	90.38724663	60.75415443
2007	1562453168	88593554.42	598332886.2	620474604.7	255052123	1060684748	1472185797	-707263446.3	130468303.3	165294094	2623137916	1258886362	525737529.6	429956631.2	303192201.1	458790776.3	272117432.7	186673343.6	1729589946	516962662.8	28525799.1	165505641	205090426.9	916084529.8	2623137916	"$4,244,452,004.68"	"$49,352,259.00"	"$4,293,804,263.68"	"$2,579,537,581.65"	"$1,714,266,682.03"	"$412,493,338.47"	"$67,183,985.78"	"$71,992,534.61"	"$1,011,094,689.86"	"$4,142,302,130.37"	"$187,498,313.51"	"-$17,852,832.77"	"$169,354,966.08"	"$38,313,885.33"	"$131,041,080.75"	0.143044748	0.253482679	0.049955849	0.659359134	0.349232316	0.070881107	0.031565752	50.74856278	73.37187565	86.59337211	63.97005924
2008	2005353574	136785174.6	669410788.1	737220914.7	461936697	1200994581	1713488143	-796979151.8	104956071.1	179529518.7	3206348155	1525268138	655450022.8	430599837.8	439218277.3	601724221.7	389266533.3	212457688.4	2126992360	633967259.2	32035177.97	236044759.8	174261482	1076308679	3206348155	"$5,513,350,125.22"	"$63,731,076.88"	"$5,577,081,202.10"	"$3,586,757,298.93"	"$1,990,323,903.17"	"$434,405,053.68"	"$82,079,722.93"	"$82,131,527.46"	"$1,133,670,730.05"	"$5,319,044,333.05"	"$258,036,869.05"	"-$52,964,433.91"	"$205,072,435.14"	"$45,115,935.73"	"$159,956,499.41"	0.148615822	0.252310347	0.049887439	0.663369122	0.33568054	0.060631938	0.027425385	43.70988205	65.78700162	73.99428151	51.91716195
2009	1788982554	130651746.9	636227784.4	678665836.4	343437186.5	1313319608	1838706907	-862072590.9	130435082.4	206250209.6	3102302162	1365170724	540518860.1	404696048.7	419955814.9	554812162.3	310193175.6	244618986.7	1919982886	671911356.2	39724936.58	262325796.1	202249067.9	1176211157	3102302162	"$5,322,769,190.02"	"$44,102,085.05"	"$5,366,871,275.07"	"$3,218,905,393.79"	"$2,147,965,881.28"	"$507,489,762.46"	"$93,671,591.08"	"$69,567,906.47"	"$1,188,364,397.59"	"$5,077,999,051.39"	"$288,872,223.68"	"-$29,067,661.09"	"$259,804,562.59"	"$57,157,003.77"	"$202,647,558.82"	0.172288417	0.301598651	0.06532167	0.61888971	0.379141391	0.056875964	0.02850069	43.03060949	60.45122979	75.9014855	58.4808652
2010	2154899029	182188775.3	703169418.3	834044859.8	435495975.9	1630458697	1751523226	-796150603.9	151629918.3	523456155.8	3785357726	1570802402	708302654.6	401236087.4	461263659.9	731361569.7	365191708.6	366169861.1	2302163972	785208134.1	48774900.73	350379221.9	297611799.5	1481974056	3785357726	"$5,977,381,788.59"	"$135,368,305.81"	"$6,112,750,094.40"	"$4,049,159,833.94"	"$2,063,590,260.46"	"$578,310,124.93"	"$110,662,936.01"	"$61,319,561.76"	"$985,991,629.13"	"$5,785,444,085.77"	"$327,306,008.63"	"-$30,649,611.84"	"$296,656,396.79"	"$65,264,407.29"	"$231,391,989.50"	0.156137679	0.294688732	0.06112817	0.608176066	0.391501719	0.058019997	0.032378266	42.34981126	62.97329968	74.15270373	53.52921531
2011	2412635027	233160852	851377936.2	698116133.3	629980105.5	2121710147	1957016002	-606017832.2	178376591.3	592335385.6	4534345174	1725482529	733342961.3	461799497.8	530340069.9	829243221.7	370498086.3	458745135.4	2554725751	824421686.6	55933784.26	391875612.1	476156909	1748387992	4534345174	"$7,071,003,287.32"	"$261,163,534.08"	"$7,332,166,821.40"	"$5,497,076,122.58"	"$1,835,090,698.82"	"$531,634,033.22"	"$96,532,363.28"	"$81,406,569.72"	"$744,052,193.13"	"$6,950,701,281.93"	"$381,465,539.47"	"-$47,371,405.29"	"$334,094,134.18"	"$73,500,709.52"	"$260,593,424.66"	0.149047823	0.316092394	0.057471016	0.56341669	0.385587759	0.053693611	0.032755422	43.3454836	48.02616158	45.71917914	41.03850116
2012	2730891373	262803705.5	918835798.4	1079305773	469946095.3	2350164853	1818727136	-829551417.3	241174899.2	1119814235	5081056226	2074780820	830339582.2	555643650.2	688797587.4	853754108.9	432683153.6	421070955.3	2928534929	969791251.3	73171580.46	564615671.5	550193839.6	2157772343	5081056226	"$7,893,855,423.40"	"$188,381,226.64"	"$8,082,236,650.04"	"$6,304,915,911.17"	"$1,777,320,738.87"	"$568,587,262.18"	"$109,377,874.88"	"$91,391,468.23"	"$570,688,698.25"	"$7,644,961,214.71"	"$437,275,435.33"	"-$61,079,169.51"	"$376,196,265.82"	"$90,023,661.90"	"$286,172,603.92"	0.132624095	0.295086807	0.056321479	0.576363417	0.424670038	0.054927434	0.029793483	41.90359079	47.41098118	61.62652823	56.11913784
2013	2882242257	278455714	973807827	1041377572	588601143.7	2614146753	2040129900	-1016205810	253184335.8	1337038328	5496389010	2135748647	867627742	581243861.8	686877042.9	988628965.5	364216857.3	347529746.1	3124377612	1125999129	88241662.71	583643776.7	581891188.9	2379775757	5496389010	"$8,444,747,709.64"	"$369,412,241.57"	"$8,814,159,951.21"	"$6,691,504,525.59"	"$2,122,655,425.62"	"$765,963,790.18"	"$134,313,641.51"	"$99,285,406.81"	"$673,078,420.41"	"$8,364,145,784.50"	"$450,014,166.71"	"-$56,006,071.21"	"$394,008,095.50"	"$81,762,082.33"	"$312,246,013.17"	0.131208166	0.277305732	0.0568093	0.568441864	0.432970766	0.05417251	0.032688557	41.51347438	46.67799087	56.02565529	50.86113881
2014	3099762041	262511747.2	1034097394	1083787742	719365158.2	3024545358	3549550304	-1198194654	177075501.7	496114206.3	6124307397	2351163974	1084433514	564440691.9	702289768.5	1010063166	420266423.1	589796743.3	3421912164	1321264786	103774419.6	639797964.4	637530180.3	2702367350	6124307397	"$8,843,835,388.28"	"$78,255,259.06"	"$8,922,090,647.34"	"$7,287,783,479.46"	"$1,634,307,167.88"	"$998,149,461.44"	"$162,457,019.62"	"$103,822,192.32"	"$97,796,237.30"	"$8,454,415,915.54"	"$467,674,731.80"	"-$25,144,830.39"	"$492,819,562.19"	"$101,356,847.60"	"$391,462,714.59"	0.144859179	0.296278777	0.063919508	0.558742719	0.441252729	0.053806924	0.031379532	42.09430021	53.56855979	53.5366601	42.06240052
2015	3209267700	327613350.4	1127722095	1132639791	621292463.9	3223980092	3789930030	-1313417945	130937714.3	616530293.3	6433027287	2434260422	1171110354	615766387.8	647383680.3	1130082470	497403928.8	632678541.1	3564823768	1495369479	121992505.3	675700499.9	580422323.1	2873484808	6433027287	"$8,787,937,460.62"	"$103,308,364.93"	"$8,891,245,825.55"	"$7,074,817,907.11"	"$1,816,427,918.44"	"$1,077,977,379.29"	"$155,992,486.01"	"$112,737,893.27"	"$11,550,763.68"	"$8,433,076,429.36"	"$458,169,396.19"	"-$30,327,551.21"	"$488,496,947.40"	"$114,747,095.76"	"$373,749,851.64"	0.130068498	0.24993813	0.058098596	0.554144046	0.446676919	0.054084459	0.03436798	46.19741048	59.59160124	57.63403809	44.23984733
